,ST_CASE,FATALS,PERSONS,MONTH,MAN_COLL,VSPD_LIM,LGT_COND,WEATHER,VSURCOND,STATE,DRUNK_DR,rate,rate_numerical,arrival_time
22192,390694,1,2,9,1,35,2,1,1,39,2,low,0.5,
22193,390695,1,1,9,0,55,1,1,1,39,0,high,1.0,
22194,390696,1,1,9,0,25,3,1,1,39,1,high,1.0,
22195,390697,1,1,9,0,55,1,10,1,39,0,high,1.0,
22196,390698,1,1,8,0,55,1,1,1,39,1,high,1.0,
22197,390699,1,1,9,0,99,3,1,1,39,0,high,1.0,
22198,390701,1,1,8,0,35,2,1,1,39,1,high,1.0,
22199,390702,1,1,8,0,30,1,1,1,39,1,high,1.0,
22200,390703,1,5,8,0,55,3,1,1,39,0,low,0.2,
22201,390704,1,3,9,6,40,3,1,1,39,1,low,0.3333333333333333,
22202,390705,1,2,7,6,55,1,1,1,39,0,low,0.5,
22203,390706,1,2,8,0,45,2,1,2,39,1,low,0.5,
22204,390707,1,1,9,0,55,2,1,1,39,1,high,1.0,
22205,390708,1,2,9,0,45,2,1,1,39,1,low,0.5,
22206,390709,1,1,8,0,40,5,1,1,39,1,high,1.0,
22207,390710,1,1,9,0,55,1,1,1,39,0,high,1.0,
22208,390711,1,2,9,6,60,1,1,1,39,0,low,0.5,
22209,390712,1,3,6,0,55,2,1,1,39,1,low,0.3333333333333333,
22210,390713,2,3,9,2,45,1,1,1,39,0,high,0.6666666666666666,
22211,390714,1,2,8,6,35,1,10,1,39,0,low,0.5,
22212,390715,1,5,9,2,55,1,1,1,39,0,low,0.2,
22213,390716,1,4,9,1,55,1,10,1,39,0,low,0.25,
22214,390717,1,2,9,8,55,1,1,1,39,0,low,0.5,
22215,390719,1,1,8,0,55,1,1,1,39,0,high,1.0,
22216,390720,1,2,9,0,55,1,1,1,39,0,low,0.5,
22217,390721,1,1,9,0,45,1,1,1,39,0,high,1.0,
22218,390722,2,3,9,0,35,2,1,1,39,1,high,0.6666666666666666,
22219,390723,1,7,9,6,45,3,1,1,39,0,low,0.14285714285714285,
22220,390724,1,2,9,6,55,1,5,1,39,0,low,0.5,
22221,390725,1,2,8,6,55,1,1,1,39,0,low,0.5,
22222,390726,1,2,9,1,70,1,1,1,39,0,low,0.5,
22223,390727,1,1,8,0,55,1,1,1,39,0,high,1.0,
22224,390728,1,2,9,2,55,1,1,1,39,1,low,0.5,
22225,390730,1,1,9,0,45,2,1,1,39,1,high,1.0,
22226,390732,1,2,9,6,45,1,1,1,39,0,low,0.5,
22227,390733,1,3,9,6,55,1,10,1,39,0,low,0.3333333333333333,
22228,390734,1,1,9,0,55,2,1,1,39,1,high,1.0,
22229,390735,1,3,9,6,55,1,1,1,39,0,low,0.3333333333333333,
22230,390736,1,2,9,6,35,3,1,1,39,1,low,0.5,
22231,390737,1,2,9,2,55,4,5,1,39,0,low,0.5,
22232,390738,1,1,9,0,55,2,1,1,39,1,high,1.0,
22233,390739,1,3,9,0,98,1,1,1,39,0,low,0.3333333333333333,
22234,390740,1,1,9,0,35,3,1,1,39,0,high,1.0,
22235,390741,1,1,10,0,35,3,1,1,39,0,high,1.0,
22236,390742,1,3,8,2,35,5,1,1,39,0,low,0.3333333333333333,
22237,390743,1,1,8,0,55,1,1,1,39,0,high,1.0,
22238,390744,1,2,9,0,55,1,1,1,39,1,low,0.5,
22239,390745,1,2,9,2,55,1,1,1,39,0,low,0.5,
22240,390746,1,2,9,11,35,3,2,2,39,1,low,0.5,
22241,390747,1,2,9,2,55,1,1,1,39,1,low,0.5,
22242,390748,1,1,10,0,55,2,10,1,39,0,high,1.0,
22243,390749,1,3,9,1,60,1,1,1,39,0,low,0.3333333333333333,
22244,390750,1,2,9,6,55,3,10,1,39,0,low,0.5,
22245,390751,1,1,9,0,65,3,10,1,39,0,high,1.0,
22246,390752,1,5,9,2,55,5,10,1,39,0,low,0.2,
22247,390753,1,3,10,6,40,1,1,1,39,0,low,0.3333333333333333,
22248,390754,1,2,9,0,45,4,1,1,39,0,low,0.5,
22249,390755,1,3,9,6,55,2,10,1,39,0,low,0.3333333333333333,
22250,390756,1,1,9,0,70,1,10,1,39,0,high,1.0,
22251,390757,1,1,10,0,55,2,1,1,39,0,high,1.0,
22252,390758,1,2,9,0,55,2,2,2,39,0,low,0.5,
22253,390759,1,4,9,0,55,2,1,1,39,0,low,0.25,
22254,390760,1,2,9,6,55,1,10,1,39,0,low,0.5,
22255,390761,1,2,9,6,25,1,1,1,39,0,low,0.5,
22256,390762,3,6,10,2,55,1,10,2,39,1,low,0.5,
22257,390763,1,1,9,0,35,3,5,1,39,0,high,1.0,
22258,390764,1,1,10,0,35,3,10,2,39,1,high,1.0,
22259,390765,1,2,10,6,55,2,1,1,39,0,low,0.5,
22260,390766,2,1,9,0,35,1,1,1,39,0,high,2.0,
22261,390767,1,2,10,0,55,1,2,2,39,0,low,0.5,
22262,390768,1,1,10,0,50,1,1,1,39,0,high,1.0,
22263,390770,1,3,8,1,60,3,1,1,39,1,low,0.3333333333333333,
22264,390771,1,2,9,6,35,1,1,1,39,0,low,0.5,
22265,390772,1,1,10,0,25,2,10,2,39,0,high,1.0,
22266,390773,1,1,10,0,35,3,1,1,39,0,high,1.0,
22267,390774,1,3,9,6,45,3,1,1,39,0,low,0.3333333333333333,
22268,390775,1,2,10,1,40,1,1,1,39,0,low,0.5,
22269,390776,1,1,6,0,35,3,1,1,39,0,high,1.0,
22270,390777,1,1,9,0,45,3,1,1,39,1,high,1.0,
22271,390778,1,4,8,0,60,1,10,1,39,0,low,0.25,
22272,390779,1,2,9,0,60,3,2,2,39,1,low,0.5,
22273,390780,2,2,9,0,40,3,1,1,39,1,high,1.0,
