,ST_CASE,FATALS,PERSONS,MONTH,MAN_COLL,SP_LIMIT,LGT_COND,WEATHER,SUR_COND,STATE,DRUNK_DR,rate,rate_numerical,arrival_time
22509,350354,1,1,7,0,99,2,1,1,35,1,high,1.0,
22510,350355,1,2,11,0,35,2,1,1,35,2,low,0.5,
22511,350356,1,4,7,4,35,1,1,1,35,0,low,0.25,
22512,350357,1,1,8,0,99,1,1,1,35,0,high,1.0,
22513,350358,5,5,10,0,99,2,1,1,35,1,high,1.0,
22514,350359,1,4,4,0,99,1,1,1,35,1,low,0.25,
22515,350360,2,3,11,0,99,2,1,1,35,1,high,0.6666666666666666,
22516,350361,1,2,5,0,99,1,1,1,35,1,low,0.5,
22517,350362,1,2,2,0,99,1,1,1,35,1,low,0.5,
22518,350363,1,1,3,0,99,1,1,1,35,1,high,1.0,
22519,350364,1,2,7,0,99,1,1,1,35,1,low,0.5,
22520,350365,3,3,11,0,99,1,1,1,35,3,high,1.0,
22521,350366,1,1,10,0,75,2,1,1,35,1,high,1.0,
22522,350367,1,3,9,0,35,1,1,1,35,0,low,0.3333333333333333,
22523,350368,1,4,12,5,50,3,1,1,35,1,low,0.25,
22524,350369,1,1,12,99,99,1,1,1,35,0,high,1.0,
22525,350370,1,5,11,0,55,2,1,1,35,0,low,0.2,
22526,350371,1,1,5,0,35,1,1,1,35,1,high,1.0,
22527,360001,1,1,1,0,99,2,1,1,36,1,high,1.0,
22528,360002,1,1,1,0,55,3,1,1,36,1,high,1.0,
22529,360003,1,1,1,0,30,2,1,1,36,0,high,1.0,
22530,360004,1,1,1,0,35,3,1,1,36,0,high,1.0,
22531,360005,1,2,1,2,55,3,1,1,36,1,low,0.5,
22532,360006,1,1,1,0,55,1,1,2,36,1,high,1.0,
22533,360007,1,1,1,0,55,3,1,1,36,1,high,1.0,
22534,360008,1,1,1,0,45,1,1,2,36,0,high,1.0,
22535,360009,3,4,1,5,99,3,3,4,36,0,high,0.75,
22536,360010,1,1,1,0,40,2,2,2,36,1,high,1.0,
22537,360011,1,1,1,0,55,1,1,2,36,0,high,1.0,
22538,360012,2,2,1,0,40,2,1,2,36,1,high,1.0,
22539,360013,1,2,1,0,65,1,1,2,36,0,low,0.5,
22540,360014,1,2,1,0,55,2,1,1,36,1,low,0.5,
22541,360015,1,1,1,0,65,2,2,2,36,1,high,1.0,
22542,360016,1,5,1,5,55,1,1,2,36,0,low,0.2,
22543,360017,1,1,1,0,55,1,4,3,36,0,high,1.0,
22544,360018,1,5,1,1,55,1,1,2,36,0,low,0.2,
22545,360019,1,1,1,0,55,2,1,3,36,1,high,1.0,
22546,360020,1,1,1,0,55,3,1,1,36,1,high,1.0,
22547,360021,1,1,1,0,55,2,1,1,36,1,high,1.0,
22548,360022,1,2,1,0,65,1,1,1,36,0,low,0.5,
22549,360023,1,2,1,0,99,3,1,1,36,0,low,0.5,
22550,360024,1,5,1,2,45,1,4,2,36,0,low,0.2,
22551,360025,2,6,1,2,55,1,1,2,36,0,low,0.3333333333333333,
22552,360026,1,4,1,3,45,5,1,2,36,0,low,0.25,
22553,360027,1,2,1,5,40,1,1,2,36,0,low,0.5,
22554,360028,1,3,1,0,45,2,4,3,36,0,low,0.3333333333333333,
22555,360029,1,1,1,0,55,1,4,3,36,0,high,1.0,
22556,360030,1,3,2,2,45,2,4,3,36,2,low,0.3333333333333333,
22557,360032,1,1,1,0,40,1,1,1,36,0,high,1.0,
22558,360033,1,1,1,0,55,1,2,2,36,0,high,1.0,
22559,360034,1,2,1,0,65,2,1,1,36,0,low,0.5,
22560,360035,1,2,1,2,65,2,1,1,36,1,low,0.5,
22561,360036,1,1,2,0,45,2,4,3,36,0,high,1.0,
22562,360037,1,4,1,2,65,1,1,1,36,0,low,0.25,
22563,360038,1,1,1,0,55,2,4,3,36,0,high,1.0,
22564,360039,1,2,1,0,99,1,1,1,36,0,low,0.5,
22565,360040,1,1,2,0,55,2,1,3,36,1,high,1.0,
22566,360041,2,4,2,2,55,1,1,1,36,1,low,0.5,
22567,360042,1,1,1,0,30,1,1,1,36,0,high,1.0,
22568,360043,1,6,2,2,45,1,4,3,36,0,low,0.16666666666666666,
22569,360044,1,1,2,0,40,5,1,1,36,0,high,1.0,
22570,360045,1,3,2,5,55,5,4,3,36,0,low,0.3333333333333333,
22571,360046,1,2,1,0,40,2,4,3,36,0,low,0.5,
22572,360047,1,2,2,2,55,1,1,1,36,0,low,0.5,
22573,360048,1,2,2,5,45,1,1,3,36,0,low,0.5,
22574,360049,1,1,1,0,55,2,4,3,36,0,high,1.0,
22575,360050,1,3,2,2,50,1,1,1,36,0,low,0.3333333333333333,
22576,360051,2,6,2,2,55,2,1,1,36,1,low,0.3333333333333333,
22577,360052,1,2,2,0,55,1,1,1,36,0,low,0.5,
22578,360053,1,2,2,0,30,2,1,1,36,0,low,0.5,
22579,360054,1,1,2,0,55,1,1,3,36,0,high,1.0,
22580,360055,3,5,3,5,55,1,4,3,36,0,high,0.6,
22581,360056,2,3,1,0,55,3,1,1,36,0,high,0.6666666666666666,
22582,360057,1,3,2,5,55,1,1,3,36,0,low,0.3333333333333333,
22583,360058,1,4,2,5,55,1,4,3,36,0,low,0.25,
22584,360059,1,1,2,0,55,2,1,3,36,1,high,1.0,
22585,360060,1,3,2,0,55,1,1,1,36,0,low,0.3333333333333333,
22586,360061,1,2,2,5,55,1,1,1,36,0,low,0.5,
22587,360062,1,1,2,0,55,3,1,1,36,1,high,1.0,
22588,360063,1,2,2,5,55,1,1,3,36,0,low,0.5,
22589,360064,1,14,2,2,55,1,4,3,36,0,low,0.07142857142857142,
22590,360065,1,2,3,2,55,1,1,1,36,0,low,0.5,
22591,360066,1,4,2,2,55,1,1,2,36,0,low,0.25,
22592,360067,1,2,3,0,35,2,1,3,36,0,low,0.5,
22593,360068,1,3,3,5,55,1,1,3,36,0,low,0.3333333333333333,
22594,360069,1,5,2,2,55,1,1,2,36,0,low,0.2,
22595,360070,1,5,3,4,45,1,1,1,36,0,low,0.2,
22596,360071,1,5,2,5,55,1,1,1,36,0,low,0.2,
22597,360072,1,4,3,2,55,1,4,3,36,0,low,0.25,
22598,360073,1,1,1,0,55,1,1,1,36,0,high,1.0,
22599,360074,1,1,2,0,99,3,1,1,36,1,high,1.0,
22600,360075,1,4,2,5,99,1,4,3,36,1,low,0.25,
22601,360076,1,1,2,0,30,1,3,3,36,0,high,1.0,
22602,360077,1,1,1,0,55,3,1,1,36,1,high,1.0,
22603,360078,1,1,2,0,35,3,1,1,36,1,high,1.0,
22604,360079,1,1,2,0,40,2,1,3,36,1,high,1.0,
22605,360080,1,2,2,0,40,1,1,1,36,0,low,0.5,
22606,360081,1,3,2,5,99,1,1,1,36,0,low,0.3333333333333333,
22607,360082,1,1,2,0,99,1,1,1,36,1,high,1.0,
22608,360083,1,1,1,0,30,2,1,1,36,1,high,1.0,
22609,360084,1,2,3,5,55,1,1,3,36,0,low,0.5,
22610,360085,2,3,3,4,55,1,1,1,36,0,high,0.6666666666666666,
22611,360086,1,3,2,0,55,3,4,3,36,1,low,0.3333333333333333,
22612,360087,1,2,1,4,55,1,1,1,36,0,low,0.5,
22613,360088,1,5,2,8,65,2,4,2,36,1,low,0.2,
22614,360089,1,1,2,0,55,2,1,1,36,1,high,1.0,
22615,360090,1,2,2,2,55,1,1,1,36,1,low,0.5,
22616,360091,1,1,1,0,99,9,1,1,36,0,high,1.0,
22617,360092,1,1,1,0,99,3,1,1,36,0,high,1.0,
22618,360093,1,3,1,5,99,3,1,2,36,0,low,0.3333333333333333,
22619,360094,1,3,2,2,30,1,1,1,36,0,low,0.3333333333333333,
22620,360095,1,2,2,0,99,1,1,2,36,0,low,0.5,
22621,360096,1,1,2,0,55,2,1,1,36,0,high,1.0,
22622,360097,1,1,2,0,55,2,1,3,36,0,high,1.0,
22623,360098,1,2,2,0,30,2,4,3,36,0,low,0.5,
22624,360099,1,1,2,0,45,3,2,2,36,1,high,1.0,
22625,360100,1,2,2,5,30,1,1,3,36,0,low,0.5,
22626,360101,2,5,3,5,55,1,1,2,36,0,low,0.4,
22627,360102,1,1,1,0,55,1,1,3,36,0,high,1.0,
22628,360103,1,2,2,1,55,3,1,1,36,1,low,0.5,
22629,360104,1,3,2,0,99,3,1,1,36,2,low,0.3333333333333333,
22630,360105,1,3,2,0,99,1,1,1,36,0,low,0.3333333333333333,
22631,360106,1,1,3,0,30,1,1,1,36,0,high,1.0,
22632,360107,1,4,2,2,99,3,1,1,36,0,low,0.25,
22633,360108,2,4,3,0,55,3,1,2,36,2,low,0.5,
22634,360109,1,3,2,0,30,3,1,3,36,1,low,0.3333333333333333,
22635,360110,1,4,2,5,40,3,1,1,36,1,low,0.25,
22636,360111,1,2,1,0,99,3,1,1,36,0,low,0.5,
22637,360112,1,1,3,0,55,3,1,1,36,1,high,1.0,
22638,360113,1,4,2,5,40,3,1,3,36,0,low,0.25,
22639,360114,1,2,3,1,65,1,4,2,36,0,low,0.5,
22640,360115,2,2,1,0,35,3,1,1,36,0,high,1.0,
22641,360116,1,3,3,5,65,1,4,2,36,0,low,0.3333333333333333,
22642,360117,1,3,1,0,99,3,1,1,36,0,low,0.3333333333333333,
22643,360118,2,3,3,5,55,1,1,1,36,0,high,0.6666666666666666,
22644,360119,1,5,1,0,99,3,1,1,36,1,low,0.2,
22645,360120,2,6,2,5,55,1,1,2,36,0,low,0.3333333333333333,
22646,360121,2,2,3,1,65,2,1,1,36,0,high,1.0,
22647,360122,1,1,3,0,65,1,4,3,36,0,high,1.0,
22648,360123,1,4,3,5,55,1,1,1,36,0,low,0.25,
22649,360124,1,3,3,4,55,2,1,1,36,0,low,0.3333333333333333,
22650,360125,1,3,1,5,99,5,1,1,36,0,low,0.3333333333333333,
22651,360126,1,2,2,0,99,1,1,1,36,0,low,0.5,
22652,360127,1,2,3,0,55,1,1,2,36,0,low,0.5,
22653,360128,1,2,3,1,55,1,4,3,36,0,low,0.5,
22654,360129,1,3,3,9,55,1,4,3,36,0,low,0.3333333333333333,
22655,360130,1,2,3,5,40,1,1,1,36,0,low,0.5,
22656,360131,1,3,3,5,35,3,1,1,36,0,low,0.3333333333333333,
22657,360132,1,3,3,5,30,3,1,1,36,0,low,0.3333333333333333,
22658,360133,1,3,3,2,45,1,1,1,36,0,low,0.3333333333333333,
22659,360134,1,1,2,0,99,1,1,1,36,1,high,1.0,
22660,360135,1,5,3,2,55,1,4,3,36,0,low,0.2,
22661,360136,1,3,2,3,50,1,1,2,36,1,low,0.3333333333333333,
22662,360137,1,2,3,1,65,2,1,2,36,0,low,0.5,
22663,360138,1,4,3,1,55,1,4,3,36,0,low,0.25,
22664,360139,1,1,3,0,45,2,1,1,36,1,high,1.0,
22665,360140,1,2,3,3,65,4,1,1,36,0,low,0.5,
22666,360141,3,3,2,0,55,3,1,1,36,3,high,1.0,
22667,360142,1,4,2,1,55,1,1,1,36,1,low,0.25,
22668,360143,1,3,3,0,55,2,9,9,36,0,low,0.3333333333333333,
22669,360144,1,2,2,0,99,1,1,2,36,0,low,0.5,
22670,360145,1,1,1,0,99,3,2,2,36,1,high,1.0,
22671,360146,1,3,1,5,99,2,9,9,36,0,low,0.3333333333333333,
22672,360147,1,1,2,0,40,3,1,1,36,0,high,1.0,
22673,360148,1,2,3,0,30,2,1,1,36,1,low,0.5,
22674,360149,1,3,3,0,30,1,1,1,36,0,low,0.3333333333333333,
22675,360150,2,3,3,5,55,1,1,1,36,1,high,0.6666666666666666,
22676,360151,1,1,4,0,55,1,1,1,36,0,high,1.0,
22677,360152,1,3,2,5,55,1,4,3,36,0,low,0.3333333333333333,
22678,360153,1,2,4,2,55,1,1,1,36,0,low,0.5,
22679,360154,1,2,1,0,99,1,1,1,36,0,low,0.5,
22680,360155,1,1,3,1,55,1,1,1,36,0,high,1.0,
22681,360156,1,3,2,0,99,1,1,1,36,0,low,0.3333333333333333,
22682,360157,1,4,4,5,40,1,1,1,36,0,low,0.25,
22683,360158,1,4,1,0,99,3,2,2,36,0,low,0.25,
22684,360159,1,4,3,5,30,5,1,1,36,0,low,0.25,
22685,360160,1,2,3,0,40,3,1,1,36,0,low,0.5,
22686,360161,1,5,1,1,99,1,1,1,36,0,low,0.2,
22687,360162,1,2,1,0,99,3,1,1,36,0,low,0.5,
22688,360163,1,2,3,1,55,5,1,2,36,1,low,0.5,
22689,360164,1,2,2,0,99,1,1,1,36,0,low,0.5,
22690,360165,1,2,3,0,99,1,1,3,36,0,low,0.5,
22691,360166,1,3,3,0,30,1,1,1,36,0,low,0.3333333333333333,
22692,360167,1,4,4,2,40,1,1,1,36,0,low,0.25,
22693,360168,1,2,4,0,55,2,1,1,36,2,low,0.5,
22694,360169,1,1,4,0,65,1,1,1,36,0,high,1.0,
22695,360171,1,2,4,3,55,1,1,1,36,0,low,0.5,
22696,360172,1,1,1,0,65,2,2,2,36,0,high,1.0,
22697,360173,1,1,4,0,30,1,1,1,36,0,high,1.0,
22698,360174,1,1,3,0,55,1,2,3,36,0,high,1.0,
22699,360175,1,1,4,0,55,3,1,2,36,0,high,1.0,
22700,360176,1,1,1,0,55,2,4,3,36,1,high,1.0,
22701,360177,1,1,4,0,55,1,1,1,36,0,high,1.0,
22702,360178,1,2,4,0,50,3,1,1,36,1,low,0.5,
22703,360179,1,1,3,0,99,1,4,3,36,0,high,1.0,
22704,360180,1,2,3,5,40,1,1,1,36,1,low,0.5,
22705,360181,1,2,4,2,55,3,1,1,36,0,low,0.5,
22706,360182,1,1,4,0,55,2,1,1,36,1,high,1.0,
22707,360183,1,2,3,0,99,1,1,3,36,1,low,0.5,
22708,360184,1,2,4,5,55,1,1,1,36,1,low,0.5,
22709,360185,1,4,2,5,99,1,1,1,36,0,low,0.25,
22710,360186,1,2,1,0,99,3,1,1,36,0,low,0.5,
22711,360187,1,2,4,0,99,3,1,1,36,0,low,0.5,
